apk_name,status,leaks_found,sources_found,sinks_found,callgraph_time_sec,dataflow_time_sec,result_time_sec,total_time_sec,peak_memory_gb,exit_code,timeout_reason,output_file
repane,SUCCESS,2,4,4,0,0,N/A,1.04,N/A,0,,/home/zym/LDFA-dataset/TaintBench/output/20260211-1812-39apps-max-precision/repane_results.xml
roidsec,SUCCESS,20,48,51,0,0,N/A,1.00,N/A,0,,/home/zym/LDFA-dataset/TaintBench/output/20260211-1812-39apps-max-precision/roidsec_results.xml
samsapo,SUCCESS,7,29,29,0,0,N/A,1.07,N/A,0,,/home/zym/LDFA-dataset/TaintBench/output/20260211-1812-39apps-max-precision/samsapo_results.xml
save_me,SUCCESS,68,115,85,0,8,N/A,10.47,N/A,0,,/home/zym/LDFA-dataset/TaintBench/output/20260211-1812-39apps-max-precision/save_me_results.xml
scipiex,FAILED,N/A,15,24,0,N/A,N/A,221.25,N/A,-9,,/home/zym/LDFA-dataset/TaintBench/output/20260211-1812-39apps-max-precision/scipiex_results.xml
slocker_android_samp,SUCCESS,10,26,12,0,1,N/A,1.78,N/A,0,,/home/zym/LDFA-dataset/TaintBench/output/20260211-1812-39apps-max-precision/slocker_android_samp_results.xml
sms_google,SUCCESS,15,39,50,0,242,N/A,246.04,N/A,0,,/home/zym/LDFA-dataset/TaintBench/output/20260211-1812-39apps-max-precision/sms_google_results.xml
sms_send_locker_qqmagic,SUCCESS,3,17,11,0,0,N/A,0.93,N/A,0,,/home/zym/LDFA-dataset/TaintBench/output/20260211-1812-39apps-max-precision/sms_send_locker_qqmagic_results.xml
smssend_packageInstaller,SUCCESS,25,43,57,0,1,N/A,1.63,N/A,0,,/home/zym/LDFA-dataset/TaintBench/output/20260211-1812-39apps-max-precision/smssend_packageInstaller_results.xml
smssilience_fake_vertu,SUCCESS,0,9,9,0,0,N/A,0.84,N/A,0,,/home/zym/LDFA-dataset/TaintBench/output/20260211-1812-39apps-max-precision/smssilience_fake_vertu_results.xml
smsstealer_kysn_assassincreed_android_samp,SUCCESS,5,23,9,0,0,N/A,1.02,N/A,0,,/home/zym/LDFA-dataset/TaintBench/output/20260211-1812-39apps-max-precision/smsstealer_kysn_assassincreed_android_samp_results.xml
stels_flashplayer_android_update,SUCCESS,33,25,37,0,0,N/A,1.23,N/A,0,,/home/zym/LDFA-dataset/TaintBench/output/20260211-1812-39apps-max-precision/stels_flashplayer_android_update_results.xml
tetus,SUCCESS,10,17,17,0,11,N/A,12.87,N/A,0,,/home/zym/LDFA-dataset/TaintBench/output/20260211-1812-39apps-max-precision/tetus_results.xml
the_interview_movieshow,SUCCESS,1,6,3,0,0,N/A,0.80,N/A,0,,/home/zym/LDFA-dataset/TaintBench/output/20260211-1812-39apps-max-precision/the_interview_movieshow_results.xml
threatjapan_uracto,SUCCESS,1,12,2,0,0,N/A,0.81,N/A,0,,/home/zym/LDFA-dataset/TaintBench/output/20260211-1812-39apps-max-precision/threatjapan_uracto_results.xml
vibleaker_android_samp,FAILED,N/A,60,61,0,N/A,N/A,271.45,N/A,-9,,/home/zym/LDFA-dataset/TaintBench/output/20260211-1812-39apps-max-precision/vibleaker_android_samp_results.xml
xbot_android_samp,FAILED,N/A,44,65,0,N/A,N/A,147.03,N/A,-9,,/home/zym/LDFA-dataset/TaintBench/output/20260211-1812-39apps-max-precision/xbot_android_samp_results.xml
