apk_name,status,leaks_found,sources_found,sinks_found,callgraph_time_sec,dataflow_time_sec,result_time_sec,total_time_sec,peak_memory_gb,exit_code,timeout_reason,output_file
repane,SUCCESS,2,4,4,0,0,N/A,1.24,N/A,0,,/home/zym/LDFA-dataset/TaintBench/output/20260211-1837-39apps-no-exceptions/repane_results.xml
roidsec,SUCCESS,20,48,51,0,0,N/A,1.34,N/A,0,,/home/zym/LDFA-dataset/TaintBench/output/20260211-1837-39apps-no-exceptions/roidsec_results.xml
samsapo,SUCCESS,7,29,29,0,0,N/A,1.25,N/A,0,,/home/zym/LDFA-dataset/TaintBench/output/20260211-1837-39apps-no-exceptions/samsapo_results.xml
save_me,SUCCESS,68,115,85,0,9,N/A,13.24,N/A,0,,/home/zym/LDFA-dataset/TaintBench/output/20260211-1837-39apps-no-exceptions/save_me_results.xml
scipiex,SKIPPED,0,0,0,0,0,0,0,0,0,BLACKLISTED,
slocker_android_samp,SUCCESS,10,26,12,0,1,N/A,2.14,N/A,0,,/home/zym/LDFA-dataset/TaintBench/output/20260211-1837-39apps-no-exceptions/slocker_android_samp_results.xml
sms_google,SUCCESS,15,39,50,0,710,N/A,1441.29,N/A,0,,/home/zym/LDFA-dataset/TaintBench/output/20260211-1837-39apps-no-exceptions/sms_google_results.xml
sms_send_locker_qqmagic,SUCCESS,3,17,11,0,0,N/A,0.98,N/A,0,,/home/zym/LDFA-dataset/TaintBench/output/20260211-1837-39apps-no-exceptions/sms_send_locker_qqmagic_results.xml
smssend_packageInstaller,SUCCESS,25,43,57,0,0,N/A,1.54,N/A,0,,/home/zym/LDFA-dataset/TaintBench/output/20260211-1837-39apps-no-exceptions/smssend_packageInstaller_results.xml
smssilience_fake_vertu,SUCCESS,0,9,9,0,0,N/A,0.79,N/A,0,,/home/zym/LDFA-dataset/TaintBench/output/20260211-1837-39apps-no-exceptions/smssilience_fake_vertu_results.xml
smsstealer_kysn_assassincreed_android_samp,SUCCESS,5,23,9,0,0,N/A,1.00,N/A,0,,/home/zym/LDFA-dataset/TaintBench/output/20260211-1837-39apps-no-exceptions/smsstealer_kysn_assassincreed_android_samp_results.xml
stels_flashplayer_android_update,SUCCESS,33,25,37,0,0,N/A,1.15,N/A,0,,/home/zym/LDFA-dataset/TaintBench/output/20260211-1837-39apps-no-exceptions/stels_flashplayer_android_update_results.xml
tetus,SUCCESS,10,17,17,0,3,N/A,4.08,N/A,0,,/home/zym/LDFA-dataset/TaintBench/output/20260211-1837-39apps-no-exceptions/tetus_results.xml
the_interview_movieshow,SUCCESS,1,6,3,0,0,N/A,0.80,N/A,0,,/home/zym/LDFA-dataset/TaintBench/output/20260211-1837-39apps-no-exceptions/the_interview_movieshow_results.xml
threatjapan_uracto,SUCCESS,1,12,2,0,0,N/A,0.89,N/A,0,,/home/zym/LDFA-dataset/TaintBench/output/20260211-1837-39apps-no-exceptions/threatjapan_uracto_results.xml
vibleaker_android_samp,SKIPPED,0,0,0,0,0,0,0,0,0,BLACKLISTED,
xbot_android_samp,FAILED,N/A,44,65,0,N/A,N/A,199.55,N/A,-9,,/home/zym/LDFA-dataset/TaintBench/output/20260211-1837-39apps-no-exceptions/xbot_android_samp_results.xml
