apk_name,status,leaks_found,sources_found,sinks_found,callgraph_time_sec,dataflow_time_sec,result_time_sec,total_time_sec,peak_memory_gb,exit_code,timeout_reason,output_file
overlaylocker2_android_samp,SUCCESS,N/A,N/A,N/A,N/A,N/A,N/A,0.01,N/A,0,,/home/zym/LDFA-dataset/TaintBench/output/20260211-1811-39apps-max-precision/overlaylocker2_android_samp_results.xml
phospy,SUCCESS,N/A,N/A,N/A,N/A,N/A,N/A,0.01,N/A,0,,/home/zym/LDFA-dataset/TaintBench/output/20260211-1811-39apps-max-precision/phospy_results.xml
proxy_samp,SUCCESS,N/A,N/A,N/A,N/A,N/A,N/A,0.01,N/A,0,,/home/zym/LDFA-dataset/TaintBench/output/20260211-1811-39apps-max-precision/proxy_samp_results.xml
remote_control_smack,SUCCESS,N/A,N/A,N/A,N/A,N/A,N/A,0.01,N/A,0,,/home/zym/LDFA-dataset/TaintBench/output/20260211-1811-39apps-max-precision/remote_control_smack_results.xml
repane,SUCCESS,N/A,N/A,N/A,N/A,N/A,N/A,0.01,N/A,0,,/home/zym/LDFA-dataset/TaintBench/output/20260211-1811-39apps-max-precision/repane_results.xml
roidsec,SUCCESS,N/A,N/A,N/A,N/A,N/A,N/A,0.01,N/A,0,,/home/zym/LDFA-dataset/TaintBench/output/20260211-1811-39apps-max-precision/roidsec_results.xml
samsapo,SUCCESS,N/A,N/A,N/A,N/A,N/A,N/A,0.01,N/A,0,,/home/zym/LDFA-dataset/TaintBench/output/20260211-1811-39apps-max-precision/samsapo_results.xml
save_me,SUCCESS,N/A,N/A,N/A,N/A,N/A,N/A,0.01,N/A,0,,/home/zym/LDFA-dataset/TaintBench/output/20260211-1811-39apps-max-precision/save_me_results.xml
scipiex,SUCCESS,N/A,N/A,N/A,N/A,N/A,N/A,0.01,N/A,0,,/home/zym/LDFA-dataset/TaintBench/output/20260211-1811-39apps-max-precision/scipiex_results.xml
slocker_android_samp,SUCCESS,N/A,N/A,N/A,N/A,N/A,N/A,0.01,N/A,0,,/home/zym/LDFA-dataset/TaintBench/output/20260211-1811-39apps-max-precision/slocker_android_samp_results.xml
sms_google,SUCCESS,N/A,N/A,N/A,N/A,N/A,N/A,0.01,N/A,0,,/home/zym/LDFA-dataset/TaintBench/output/20260211-1811-39apps-max-precision/sms_google_results.xml
sms_send_locker_qqmagic,SUCCESS,N/A,N/A,N/A,N/A,N/A,N/A,0.01,N/A,0,,/home/zym/LDFA-dataset/TaintBench/output/20260211-1811-39apps-max-precision/sms_send_locker_qqmagic_results.xml
smssend_packageInstaller,SUCCESS,N/A,N/A,N/A,N/A,N/A,N/A,0.01,N/A,0,,/home/zym/LDFA-dataset/TaintBench/output/20260211-1811-39apps-max-precision/smssend_packageInstaller_results.xml
smssilience_fake_vertu,SUCCESS,N/A,N/A,N/A,N/A,N/A,N/A,0.01,N/A,0,,/home/zym/LDFA-dataset/TaintBench/output/20260211-1811-39apps-max-precision/smssilience_fake_vertu_results.xml
smsstealer_kysn_assassincreed_android_samp,SUCCESS,N/A,N/A,N/A,N/A,N/A,N/A,0.01,N/A,0,,/home/zym/LDFA-dataset/TaintBench/output/20260211-1811-39apps-max-precision/smsstealer_kysn_assassincreed_android_samp_results.xml
stels_flashplayer_android_update,SUCCESS,N/A,N/A,N/A,N/A,N/A,N/A,0.01,N/A,0,,/home/zym/LDFA-dataset/TaintBench/output/20260211-1811-39apps-max-precision/stels_flashplayer_android_update_results.xml
tetus,SUCCESS,N/A,N/A,N/A,N/A,N/A,N/A,0.01,N/A,0,,/home/zym/LDFA-dataset/TaintBench/output/20260211-1811-39apps-max-precision/tetus_results.xml
the_interview_movieshow,SUCCESS,N/A,N/A,N/A,N/A,N/A,N/A,0.01,N/A,0,,/home/zym/LDFA-dataset/TaintBench/output/20260211-1811-39apps-max-precision/the_interview_movieshow_results.xml
threatjapan_uracto,SUCCESS,N/A,N/A,N/A,N/A,N/A,N/A,0.01,N/A,0,,/home/zym/LDFA-dataset/TaintBench/output/20260211-1811-39apps-max-precision/threatjapan_uracto_results.xml
vibleaker_android_samp,SUCCESS,N/A,N/A,N/A,N/A,N/A,N/A,0.01,N/A,0,,/home/zym/LDFA-dataset/TaintBench/output/20260211-1811-39apps-max-precision/vibleaker_android_samp_results.xml
xbot_android_samp,SUCCESS,N/A,N/A,N/A,N/A,N/A,N/A,0.01,N/A,0,,/home/zym/LDFA-dataset/TaintBench/output/20260211-1811-39apps-max-precision/xbot_android_samp_results.xml
