apk_name,status,leaks_found,sources_found,sinks_found,callgraph_time_sec,dataflow_time_sec,result_time_sec,total_time_sec,peak_memory_gb,exit_code,timeout_reason,output_file
fakemart,SUCCESS,2,7,5,0,1,N/A,2.27,N/A,0,,/home/zym/LDFA-dataset/TaintBench/output/20260211-1833-39apps-no-exception-no-static/fakemart_results.xml
fakeplay,SUCCESS,5,38,15,0,1,N/A,3.13,N/A,0,,/home/zym/LDFA-dataset/TaintBench/output/20260211-1833-39apps-no-exception-no-static/fakeplay_results.xml
faketaobao,SUCCESS,5,14,6,0,1,N/A,2.27,N/A,0,,/home/zym/LDFA-dataset/TaintBench/output/20260211-1833-39apps-no-exception-no-static/faketaobao_results.xml
godwon_samp,SUCCESS,0,N/A,N/A,0,0,N/A,1.38,N/A,0,,/home/zym/LDFA-dataset/TaintBench/output/20260211-1833-39apps-no-exception-no-static/godwon_samp_results.xml
hummingbad_android_samp,SKIPPED,0,0,0,0,0,0,0,0,0,BLACKLISTED,
jollyserv,SKIPPED,0,0,0,0,0,0,0,0,0,BLACKLISTED,
overlay_android_samp,SUCCESS,5,70,15,0,167,N/A,171.21,N/A,0,,/home/zym/LDFA-dataset/TaintBench/output/20260211-1833-39apps-no-exception-no-static/overlay_android_samp_results.xml
overlaylocker2_android_samp,SUCCESS,8,26,28,0,0,N/A,1.15,N/A,0,,/home/zym/LDFA-dataset/TaintBench/output/20260211-1833-39apps-no-exception-no-static/overlaylocker2_android_samp_results.xml
phospy,SUCCESS,9,12,19,0,0,N/A,1.66,N/A,0,,/home/zym/LDFA-dataset/TaintBench/output/20260211-1833-39apps-no-exception-no-static/phospy_results.xml
proxy_samp,SUCCESS,8,37,34,0,0,N/A,1.04,N/A,0,,/home/zym/LDFA-dataset/TaintBench/output/20260211-1833-39apps-no-exception-no-static/proxy_samp_results.xml
remote_control_smack,SKIPPED,0,0,0,0,0,0,0,0,0,BLACKLISTED,
repane,SUCCESS,2,4,4,0,0,N/A,0.92,N/A,0,,/home/zym/LDFA-dataset/TaintBench/output/20260211-1833-39apps-no-exception-no-static/repane_results.xml
roidsec,SUCCESS,20,48,51,0,0,N/A,1.03,N/A,0,,/home/zym/LDFA-dataset/TaintBench/output/20260211-1833-39apps-no-exception-no-static/roidsec_results.xml
samsapo,SUCCESS,7,29,29,0,0,N/A,1.06,N/A,0,,/home/zym/LDFA-dataset/TaintBench/output/20260211-1833-39apps-no-exception-no-static/samsapo_results.xml
save_me,SUCCESS,57,115,85,0,6,N/A,8.39,N/A,0,,/home/zym/LDFA-dataset/TaintBench/output/20260211-1833-39apps-no-exception-no-static/save_me_results.xml
scipiex,SKIPPED,0,0,0,0,0,0,0,0,0,BLACKLISTED,
slocker_android_samp,SUCCESS,8,26,12,0,1,N/A,1.51,N/A,0,,/home/zym/LDFA-dataset/TaintBench/output/20260211-1833-39apps-no-exception-no-static/slocker_android_samp_results.xml
sms_google,SUCCESS,15,39,50,0,17,N/A,18.44,N/A,0,,/home/zym/LDFA-dataset/TaintBench/output/20260211-1833-39apps-no-exception-no-static/sms_google_results.xml
sms_send_locker_qqmagic,SUCCESS,3,17,11,0,0,N/A,0.93,N/A,0,,/home/zym/LDFA-dataset/TaintBench/output/20260211-1833-39apps-no-exception-no-static/sms_send_locker_qqmagic_results.xml
smssend_packageInstaller,SUCCESS,23,43,57,0,0,N/A,1.41,N/A,0,,/home/zym/LDFA-dataset/TaintBench/output/20260211-1833-39apps-no-exception-no-static/smssend_packageInstaller_results.xml
smssilience_fake_vertu,SUCCESS,0,9,9,0,0,N/A,0.78,N/A,0,,/home/zym/LDFA-dataset/TaintBench/output/20260211-1833-39apps-no-exception-no-static/smssilience_fake_vertu_results.xml
smsstealer_kysn_assassincreed_android_samp,SUCCESS,5,23,9,0,0,N/A,0.95,N/A,0,,/home/zym/LDFA-dataset/TaintBench/output/20260211-1833-39apps-no-exception-no-static/smsstealer_kysn_assassincreed_android_samp_results.xml
stels_flashplayer_android_update,SUCCESS,33,25,37,0,0,N/A,1.20,N/A,0,,/home/zym/LDFA-dataset/TaintBench/output/20260211-1833-39apps-no-exception-no-static/stels_flashplayer_android_update_results.xml
tetus,SUCCESS,7,17,17,0,0,N/A,1.07,N/A,0,,/home/zym/LDFA-dataset/TaintBench/output/20260211-1833-39apps-no-exception-no-static/tetus_results.xml
the_interview_movieshow,SUCCESS,1,6,3,0,0,N/A,0.80,N/A,0,,/home/zym/LDFA-dataset/TaintBench/output/20260211-1833-39apps-no-exception-no-static/the_interview_movieshow_results.xml
threatjapan_uracto,SUCCESS,1,12,2,0,0,N/A,0.88,N/A,0,,/home/zym/LDFA-dataset/TaintBench/output/20260211-1833-39apps-no-exception-no-static/threatjapan_uracto_results.xml
vibleaker_android_samp,SKIPPED,0,0,0,0,0,0,0,0,0,BLACKLISTED,
xbot_android_samp,FAILED,N/A,44,65,0,N/A,N/A,131.96,N/A,-9,,/home/zym/LDFA-dataset/TaintBench/output/20260211-1833-39apps-no-exception-no-static/xbot_android_samp_results.xml
